,feature_name,importance_value
23,area_worst,693.5764151856465
27,concave points_worst,665.3621363782837
22,perimeter_worst,609.1899083512869
26,concavity_worst,572.5582047222608
7,concave points_mean,386.3867226188225
21,texture_worst,244.2809896397355
20,radius_worst,180.0977987827883
24,smoothness_worst,162.56370357566735
1,texture_mean,145.0436819415492
13,area_se,131.54850933578447
15,compactness_se,116.73877497979262
9,fractal_dimension_mean,54.8824061967138
25,compactness_worst,52.69044656391587
18,symmetry_se,46.29738709090922
10,radius_se,44.72872336435526
17,concave points_se,40.9174330875139
8,symmetry_mean,35.75774904775373
6,concavity_mean,32.64588323654965
28,symmetry_worst,27.36786574085366
29,fractal_dimension_worst,24.207241848488803
19,fractal_dimension_se,18.185502022782707
3,area_mean,15.923575366792361
5,compactness_mean,15.462100094720416
0,radius_mean,10.687702126317848
2,perimeter_mean,9.954174767763709
14,smoothness_se,7.77654845744375
4,smoothness_mean,5.529138982164731
11,texture_se,4.130595235768519
12,perimeter_se,3.5647111330992147
16,concavity_se,0.20802125150620393
