,Feature Name,Accuracy,Precision,Recall,F1 Score,Training Time,Shap Value,Storage
0,V1,0.9983614807532507,0.9967256462518234,0.9983614807532507,0.9975428928665334,16030.90500831604,0.6106958819465519,7516452
1,V14,0.9980571843217115,0.9976389553173398,0.9980571843217115,0.9977975095044689,17904.313802719116,0.575733916906881,12722987
2,V4,0.9989817773252344,0.9989156898668163,0.9989817773252344,0.9989404694217594,18082.812070846558,0.512861789995796,17862153
3,V8,0.9992158515033414,0.9991615054678026,0.9992158515033414,0.9991812467291786,18014.089107513428,0.4164465798823149,23126655
4,V13,0.9990402958697612,0.9989749477083717,0.9990402958697612,0.99899674608578,18324.613094329834,0.3704097266795791,28302628
5,V10,0.9994499256814484,0.9994209164720134,0.9994499256814484,0.9994275283804124,18428.631067276,0.36846183504487096,33530847
6,V11,0.999403110845827,0.9993790566053337,0.999403110845827,0.9993869758264865,18243.301153182983,0.33668504019146395,38690723
7,V19,0.9993914071369217,0.9993585083279124,0.9993914071369217,0.9993652958964774,18318.572998046875,0.32826620630875364,43908854
8,V25,0.9993679997191109,0.9993382303312199,0.9993679997191109,0.9993471212835389,18784.818172454834,0.2802743216474363,49167078
9,V12,0.9994382219725431,0.9994106553999353,0.9994382219725431,0.9994020309043743,20611.183881759644,0.2758830464988517,54349278
10,V18,0.9994616293903538,0.9994375966271019,0.9994616293903538,0.9994339633152335,19533.742904663086,0.2460813509284397,59561579
11,V26,0.9995552590615966,0.999543079271012,0.9995552590615966,0.999529441127711,19217.86403656006,0.2164506553964761,64841413
12,V28,0.9995201479348805,0.9995022402893574,0.9995201479348805,0.9995045093830133,18519.50979232788,0.19994316978585613,70249077
13,V6,0.9995903701883126,0.9995775495293955,0.9995903701883126,0.9995772015315738,19479.20298576355,0.19727580943934422,75458266
14,V24,0.9996488887328394,0.9996384146520266,0.9996488887328394,0.9996366591852094,19544.29602622986,0.18573532429682174,80709542
15,V17,0.9995669627705019,0.999553652128944,0.9995669627705019,0.9995398175736699,19249.008893966675,0.18215538766832753,85954314
16,Amount,0.9995786664794073,0.9995650996787694,0.9995786664794073,0.9995624885108741,19735.22996902466,0.18036184553956577,87520893
17,Time,0.9997074072773662,0.9997028362007181,0.9997074072773662,0.9996942397711581,20160.823106765747,0.17725305157573454,89921534
18,V22,0.9997425184040822,0.9997372665222349,0.9997425184040822,0.9997369703025359,20722.648859024048,0.1714366950534522,95147707
19,V7,0.9995669627705019,0.9995533421414203,0.9995669627705019,0.9995442499401632,19336.852073669434,0.13880926962990328,100345405
20,V16,0.9995435553526912,0.999525378032798,0.9995435553526912,0.9995206749015909,20617.15793609619,0.13653633644786622,105543987
21,V3,0.9995435553526912,0.9995263876305069,0.9995435553526912,0.9995292615631305,20761.63935661316,0.13568753727632876,110642164
22,V2,0.9995669627705019,0.9995540649745114,0.9995669627705019,0.9995486454660159,21279.371976852417,0.13295860677781063,115799296
23,V20,0.9996371850239341,0.9996271038082976,0.9996371850239341,0.9996227223427212,21181.211709976196,0.11846776823295072,121126450
24,V15,0.9995318516437859,0.9995120271427833,0.9995318516437859,0.9995163976124373,21593.50299835205,0.11441189994786252,126305273
25,V23,0.9995435553526912,0.9995306364807653,0.9995435553526912,0.9995206929464654,21736.655950546265,0.10909830814022084,131638249
26,V9,0.9995435553526912,0.9995302220573806,0.9995435553526912,0.9995200409531294,21875.00309944153,0.10614141793304888,136821284
27,V5,0.9996137776061234,0.9996042838522843,0.9996137776061234,0.999595858764869,20879.164934158325,0.08989881645114067,141998157
28,V27,0.9996722961506501,0.9996644272725405,0.9996722961506501,0.9996595144245586,21916.35513305664,0.0742929873418723,147392249
29,V21,0.9995786664794073,0.9995653125850401,0.9995786664794073,0.99955696311992,22092.551946640015,0.0714473167284019,152700137
