,Random Forest,XGBoost,Catboost,LightGBM
0,V14,V14,V14,V1
1,V17,V4,V17,V12
2,V12,V12,V12,V26
3,V4,Amount,V4,V14
4,V10,V10,V10,V16
5,V1,V11,V1,V20
6,V11,V19,V11,V5
7,V2,V20,V2,V15
8,V16,V3,V16,V3
9,V3,V22,V3,V7
10,V7,V16,V7,V13
11,Amount,V8,Amount,V22
12,V19,V7,V19,V10
13,V9,V5,V9,V18
14,V20,V13,V20,V9
15,V18,Time,V18,V8
16,V21,V25,V21,V17
17,V26,V26,V26,V21
18,Time,V28,Time,V28
19,V13,V2,V13,V23
20,V6,V21,V6,V4
21,V15,V24,V15,Time
22,V8,V6,V8,V27
23,V23,V1,V23,V24
24,V28,V15,V28,V25
25,V25,V9,V25,V11
26,V27,V23,V27,V19
27,V5,V18,V5,Amount
28,V24,V17,V24,V2
29,V22,V27,V22,V6
